No,Product ID,SKU,Product Name,Category,GSM,Size,Printing Type,Sides,Cost Slab Count
117,hnc2621thitt4pyqnmmz13wh,KC60,ABS MOLD KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
118,d81ckzsjzkfmu2sbsgqsx8ii,KC61,ABS MOLD KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
119,ma5vfo7gzkova6vgreiurgcg,KC62,ABS MOLD KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
120,tinadwuob12gi8syx7s0iqvw,KC63,ABS MOLD KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
121,g2v3zfxa8jx1nvepzx3cinwa,KC64,ABS MOLD KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
122,qbkeoo7zx3dszojaycix1cia,KC65,ABS MOLD KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
123,a8foorb7p33t7xi7lj6k4hbc,KC66,ABS MOLD KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
124,k5ri4vii1cmq1p8k51pjlxim,KC67,ABS MOLD KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
125,tbtcc7ogh3p548q3fdz4lql4,KC18,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
126,rad9qgizh6pewugjieaadsbi,KC19,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
127,nu1t323oe0pqji28aimbn0aq,KC20,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
128,tcx6yiv4b8gjqqa0tuabyg2a,KC21,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
129,yaao4b4pzycxvjzoqkvwqj57,KC22,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
130,jr3xybmhf08i4i54r6ianjgr,KC23,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
131,xboizawwxo6sn00kzwkcnu9y,KC24,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
132,jkt8tpc72bk0icjzn2dfn8tj,KC25,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
133,aqy8zht4jjx6fo917p5i2qdr,KC26,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
134,nf7v3vu1cw90c7rht2199g7m,KC27,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
135,us4o579c4vpst1nt2d9tw2mx,KC28,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
136,b9i1kz4bop9w28le1ug3vx2w,KC29,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
137,sae42u4tasp8uzpcmskwko8x,KC49,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
138,oh1bja1up3gbuxjn7lwkx5if,KC50,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
139,jrq228vj2yy0ebwip3vgwyzt,KC51,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
140,io3wfq77iqg7spxek8f8hams,KC52,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
141,p0al17vt3e42n9g34dt8n92p,KC53,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
142,ljkpilwdb13omfmg2duxo4ib,KC54,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
143,fre91djtydqu3hix02wbyurc,KC55,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
144,p2nool7b0f7vymdm0oc9hjn6,KC56,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
145,kk4qp1medf47ld9bu09azvrx,KC57,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
146,znixb9tkmt0qjykg5yobc25v,KC58,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
147,oh4ywmytao9c7q2i24m3g5zz,KC59,ABS PATTA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
148,qvmi69yyre3dhcmb5mnnhg1m,KC37,ABS PATTA MEENA DIGITAL KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
149,lz3i6357zrhm7wbqvp4pgodd,KC38,ABS PATTA MEENA DIGITAL KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
150,qt0eaojy0xhxdx9i6o87hsbj,KC39,ABS PATTA MEENA DIGITAL KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
151,gp8p7n6ya3wlx5x4flpetx0r,KC40,ABS PATTA MEENA DIGITAL KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
